Date,portfolio_nav,SPY_nav,QQQ_nav,NVDA_value,TSM_value,AMD_value,AVGO_value,MSFT_value,GOOGL_value,AMZN_value,META_value,ANET_value,PLTR_value
2022-01-20,870889.3887,935190.9433,900517.9355,200441.5225,99635.0841,64904.1507,57800.7631,135145.6199,110329.8769,53402.6390,74805.9286,42864.1724,31559.6316
2022-01-21,843528.6767,916832.4957,875547.7189,194000.8374,96684.7723,63264.1071,56271.6298,132649.7435,107883.4198,50225.0854,71641.7470,41700.6442,29206.6902
2022-01-24,847530.0345,920726.0490,879555.7102,193984.2420,97795.0218,62050.0503,57152.8069,132802.0795,108257.8996,50894.4343,72950.9036,42716.5326,28926.0639
2022-01-25,819768.2022,909484.9586,859166.1777,185286.0155,95093.1651,59174.6503,56367.6696,129271.0541,105055.7916,49289.5421,70928.1003,41110.0930,28192.1207
2022-01-26,829724.8632,907203.1380,857822.0933,189004.3143,95558.9891,58951.0091,58792.7389,132954.4012,106957.7123,48897.4768,69623.6753,41461.6115,27522.9348
2022-01-27,812229.8956,902723.3338,849183.4896,182132.0703,90357.1364,54632.5850,57229.8330,134356.9538,106769.0144,49166.8357,69626.0374,41451.0664,26508.3633
2022-01-28,836199.7259,925143.0091,875821.4662,189568.7632,91312.1134,56038.3355,59107.2145,138129.9479,110365.8733,50695.1404,71296.7344,42249.0150,27436.5884
2022-01-31,872418.2776,941805.6837,903828.7255,203230.3061,95209.6322,60835.9935,61827.7631,139348.7348,111981.8791,52665.3366,74026.1125,43697.2697,29595.2499
2022-02-01,879998.2631,948169.4543,909977.7811,204491.8715,95535.7109,62183.1707,62549.6011,138353.9730,113918.9240,53235.7423,75382.5195,43693.7564,30652.9936
2022-02-02,900158.4769,957379.9647,917371.9229,209505.0217,96389.7544,65367.4109,63679.8249,140460.0022,122489.9151,53031.1725,76327.7590,44154.2449,28753.3712
2022-02-03,845371.4463,934876.9263,880178.0972,198764.9936,93043.4595,63940.3607,61296.9508,134988.7413,118426.2425,48887.9725,56184.7924,42962.5972,26875.3359
2022-02-04,862045.2269,939272.6901,891281.3628,201844.2199,93959.6056,65814.6933,62279.4328,137090.3413,118594.2428,55505.4005,56026.4627,42997.7485,27933.0795
2022-02-07,857848.6404,936258.3437,884111.7423,205238.8376,94961.1644,65851.9668,62012.4480,134854.3631,115207.5752,55609.6249,53148.2144,42945.0202,28019.4259
2022-02-08,868519.8880,943961.9517,894044.8922,208392.7987,96048.1421,68280.0804,63341.0704,136471.9264,115371.4244,56834.2394,52030.4794,43363.3281,28386.3986
2022-02-09,898014.2127,957777.8866,912990.4057,221647.6997,97453.3904,70740.1498,64514.5607,139451.7827,117186.4100,56755.3686,54823.6538,45500.5615,29940.6354
2022-02-10,874577.6447,940570.6766,892327.2039,214335.5117,96824.5112,66970.1768,62406.0661,135495.1223,114726.7105,55985.6689,53894.9639,44667.4616,29271.4515
2022-02-11,833552.8097,922023.6969,864020.9992,198773.2833,93951.8674,60266.2386,60512.8587,132206.0940,111136.8484,53975.1616,51881.6092,42505.6220,28343.2264
2022-02-14,838536.6458,919009.4183,865091.4924,201412.6610,92989.1141,60846.6414,61057.4022,132188.1930,112166.0122,54634.8289,51444.4326,43173.5078,28623.8526
2022-02-15,876170.2781,933830.1127,886600.9782,219904.7258,96677.0150,64680.5095,63610.1630,134639.2530,113061.9242,55107.8765,52224.2560,45676.3208,30588.2343
2022-02-16,873719.9020,934876.9263,886377.0812,220037.5205,95962.7231,62667.7306,63023.4201,134482.1188,113996.7359,55667.7196,51170.3138,46555.1172,30156.5024
2022-02-17,831932.2369,914906.5429,860013.0079,203404.5972,92981.3568,59834.9301,61101.7138,130544.1970,109693.8724,54453.6678,49083.7141,45426.7403,25407.4474
2022-02-18,818389.3148,908982.4773,850204.1325,196225.2515,92631.9681,60612.3523,61206.2022,129286.8967,107926.0374,53731.5056,48717.4349,44263.2147,23788.4513
2022-02-22,810140.3659,899227.5670,841664.8392,194133.6638,90768.6341,61581.4682,60939.2087,129192.6361,107438.1440,52885.0466,47753.2872,42825.5052,22622.7721
2022-02-23,787269.9060,883276.3572,820105.4251,185808.9045,89984.4632,58445.1534,59644.3589,125847.4346,105596.2343,50994.0758,46895.4946,41538.9460,22514.8406
2022-02-24,819738.1991,896568.8176,847664.9682,197104.9965,86863.3516,62092.6498,61207.2474,132277.3999,109819.6752,53293.6651,49057.7159,42484.5318,25536.9660
2022-02-25,830215.2827,916350.8720,860809.4417,200499.6460,86358.6840,64462.1902,62052.5527,133498.7421,111283.3425,54149.4511,49738.2851,43412.5405,24759.8486
2022-02-28,831744.4468,914006.4105,863373.8821,202392.0258,83082.2935,65676.2470,61992.3934,134163.3220,111777.8443,54070.0537,49868.2545,43141.8724,25580.1402
2022-03-01,811949.0173,900085.9839,850154.4383,194855.7448,83889.7298,60612.3523,60164.6235,132439.0342,110953.9378,53217.6096,48086.4817,41437.0053,26292.4983
2022-03-02,829125.5360,916643.9636,864419.4111,201056.7897,85100.9319,62981.8927,61817.2110,134791.9438,111376.0266,53538.2022,49178.2366,43250.8423,26033.4592
2022-03-03,812521.9656,912080.5254,852071.2155,196856.3519,84464.2636,59627.2627,61059.5056,132874.5920,110819.8585,52075.5623,47963.6061,42301.7406,24479.2223
2022-03-04,795799.2013,904670.2121,839722.8638,190397.9438,81568.3035,57726.3044,62894.6659,130153.5123,109170.3774,51280.6917,47275.9467,41672.5248,23658.9307
2022-03-07,756126.4369,878001.2511,808753.0642,177248.7292,77088.4999,54818.9527,60225.8237,125236.6997,104595.2171,48397.6679,44300.8210,40231.2966,23982.7291
2022-03-08,759238.7615,871344.5920,804993.8561,178593.5731,77639.7365,56192.7555,60779.8609,123862.7376,105196.0783,47891.1647,44967.2065,40284.0249,23831.6234
2022-03-09,798122.6029,894705.9797,833972.0640,191045.4648,81482.8973,59132.0548,63003.3699,129542.8483,110422.9939,49040.6101,46907.3054,42396.6521,25148.4062
2022-03-10,791305.1241,890665.9483,824711.0733,188090.2193,80714.2855,56687.9634,62022.9869,128236.2173,109603.2384,51694.9408,46129.8514,42502.1088,25623.3123
2022-03-11,774259.6474,879341.0208,807607.9907,183458.1114,78734.4588,55532.4798,60980.3674,125757.6031,107485.3074,51239.6714,44333.9021,42150.5902,24587.1558
2022-03-14,754135.6621,872914.6093,792098.0878,177066.1008,77096.2826,54446.2174,59919.7836,124127.6327,104241.3967,49946.9207,44102.3238,40523.0576,22665.9463
2022-03-15,789708.3494,892110.2775,816943.7958,190705.1090,79262.4046,58216.1863,62553.8123,128936.6986,106928.7318,51888.2441,45378.3885,42589.9884,23248.7859
