Series,Start ($),End ($),Total Return,CAGR,Ann. Vol,Sharpe,Sortino,Max DD,Calmar
Dynamic Layering  (50/30/20 momentum),"1,000.20",660.18,-34.0%,-8.0%,23.4%,-0.46,-0.29,-47.3%,-0.17
SPY  Benchmark,"1,000.00","1,881.68",+88.2%,+13.5%,17.1%,0.53,0.72,-24.5%,0.55
QQQ  Benchmark,"1,000.00","2,182.99",+118.3%,+16.9%,22.5%,0.58,0.81,-35.1%,0.48
Options Path      ($50 debit spreads),"1,000.16",977.80,-2.2%,-0.5%,706.1%,0.52,0.83,-130.3%,-0.00
